heart_rate,condition
92,hard
92,hard
92,hard
93,hard
94,hard
95,hard
95,hard
96,hard
98,hard
99,hard
100,hard
100,hard
101,hard
102,hard
102,hard
103,hard
104,hard
105,hard
105,hard
106,hard
106,hard
107,hard
107,hard
108,hard
108,hard
108,hard
108,hard
107,hard
107,hard
106,hard
98,hard
98,hard
98,hard
98,hard
98,hard
99,hard
101,hard
102,hard
102,hard
103,hard
103,hard
102,hard
102,hard
101,hard
101,hard
100,hard
99,hard
99,hard
98,hard
97,hard
96,hard
96,hard
96,hard
96,hard
96,hard
96,hard
96,hard
96,hard
95,hard
95,hard
95,hard
96,easy
96,easy
96,easy
96,easy
96,easy
96,easy
96,easy
95,easy
95,easy
95,easy
95,easy
95,easy
94,easy
94,easy
94,easy
94,easy
95,easy
95,easy
95,easy
95,easy
95,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
97,easy
98,easy
98,easy
98,easy
99,easy
100,easy
100,easy
99,easy
99,easy
99,easy
98,easy
98,easy
98,easy
98,easy
97,easy
96,easy
96,easy
95,easy
95,easy
95,easy
95,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
97,hard
98,hard
98,hard
98,hard
98,hard
98,hard
98,hard
98,hard
98,hard
98,hard
99,hard
99,hard
99,hard
99,hard
99,hard
100,hard
99,hard
99,hard
99,hard
99,hard
99,hard
99,hard
99,hard
99,hard
100,hard
101,hard
101,hard
102,hard
102,hard
102,hard
104,hard
104,hard
104,hard
103,hard
103,hard
102,hard
102,hard
102,hard
102,hard
102,hard
102,hard
102,hard
101,hard
101,hard
100,hard
100,hard
100,hard
100,hard
99,hard
98,hard
98,hard
98,hard
98,hard
97,hard
97,hard
97,hard
97,hard
97,hard
97,hard
97,hard
96,hard
97,easy
96,easy
96,easy
95,easy
94,easy
94,easy
93,easy
93,easy
93,easy
93,easy
93,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
95,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
93,easy
101,hard
102,hard
102,hard
102,hard
102,hard
101,hard
100,hard
99,hard
99,hard
98,hard
99,hard
99,hard
98,hard
98,hard
98,hard
98,hard
97,hard
97,hard
96,hard
96,hard
96,hard
96,hard
96,hard
97,hard
97,hard
97,hard
97,hard
97,hard
98,hard
97,hard
101,easy
101,easy
101,easy
101,easy
101,easy
100,easy
100,easy
100,easy
99,easy
98,easy
97,easy
96,easy
96,easy
96,easy
96,easy
96,easy
95,easy
95,easy
94,easy
94,easy
93,easy
93,easy
93,easy
93,easy
94,easy
94,easy
94,easy
94,easy
94,easy
93,easy
98,hard
98,hard
97,hard
96,hard
95,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
95,hard
95,hard
96,hard
96,hard
96,hard
96,hard
97,hard
98,hard
98,hard
98,hard
99,hard
99,hard
98,hard
97,hard
97,hard
96,hard
97,hard
97,hard
97,hard
97,hard
97,hard
96,hard
96,hard
95,hard
94,hard
94,hard
94,hard
95,hard
95,hard
95,hard
94,hard
93,hard
93,hard
92,hard
92,hard
92,hard
92,hard
90,hard
90,hard
90,hard
90,hard
90,hard
91,hard
91,hard
92,hard
93,hard
93,hard
94,hard
94,hard
95,hard
95,hard
95,hard
95,hard
96,hard
96,hard
97,hard
97,hard
97,hard
97,hard
97,hard
96,hard
95,hard
95,hard
95,hard
95,hard
95,hard
95,hard
95,hard
97,easy
97,easy
97,easy
97,easy
96,easy
95,easy
95,easy
94,easy
94,easy
94,easy
94,easy
94,easy
94,easy
93,easy
92,easy
93,easy
93,easy
93,easy
93,easy
92,easy
92,easy
92,easy
92,easy
92,easy
92,easy
92,easy
92,easy
92,easy
92,easy
93,easy
96,hard
95,hard
95,hard
95,hard
95,hard
94,hard
93,hard
93,hard
92,hard
92,hard
92,hard
93,hard
93,hard
94,hard
94,hard
93,hard
93,hard
92,hard
91,hard
91,hard
90,hard
91,hard
91,hard
91,hard
91,hard
91,hard
90,hard
90,hard
90,hard
90,hard
89,hard
97,easy
98,easy
98,easy
98,easy
98,easy
98,easy
98,easy
97,easy
97,easy
97,easy
97,easy
97,easy
98,easy
97,easy
96,easy
95,easy
95,easy
94,easy
94,easy
95,easy
95,easy
95,easy
95,easy
94,easy
94,easy
93,easy
94,easy
94,easy
94,easy
95,easy
101,easy
100,easy
100,easy
100,easy
100,easy
99,easy
99,easy
98,easy
97,easy
97,easy
97,easy
97,easy
97,easy
98,easy
99,easy
98,easy
97,easy
96,easy
96,easy
95,easy
95,easy
94,easy
93,easy
93,easy
93,easy
92,easy
92,easy
92,easy
91,easy
91,easy
91,easy
99,easy
99,easy
99,easy
100,easy
100,easy
101,easy
102,easy
102,easy
101,easy
100,easy
100,easy
99,easy
98,easy
99,easy
99,easy
100,easy
100,easy
100,easy
99,easy
98,easy
97,easy
96,easy
95,easy
94,easy
93,easy
93,easy
92,easy
92,easy
92,easy
92,easy
98,easy
99,easy
100,easy
100,easy
101,easy
101,easy
100,easy
101,easy
101,easy
102,easy
103,easy
103,easy
103,easy
102,easy
102,easy
102,easy
102,easy
102,easy
102,easy
101,easy
100,easy
99,easy
98,easy
96,easy
95,easy
94,easy
93,easy
93,easy
93,easy
93,easy
93,easy
98,easy
98,easy
98,easy
98,easy
98,easy
98,easy
99,easy
100,easy
102,easy
102,easy
102,easy
102,easy
101,easy
100,easy
99,easy
98,easy
97,easy
96,easy
95,easy
94,easy
92,easy
92,easy
91,easy
90,easy
90,easy
89,easy
88,easy
88,easy
88,easy
89,easy
99,hard
99,hard
99,hard
98,hard
98,hard
98,hard
97,hard
97,hard
96,hard
96,hard
95,hard
95,hard
95,hard
95,hard
95,hard
96,hard
95,hard
94,hard
94,hard
93,hard
93,hard
92,hard
93,hard
93,hard
93,hard
94,hard
95,hard
96,hard
96,hard
96,hard
97,hard
103,easy
103,easy
102,easy
103,easy
103,easy
102,easy
102,easy
101,easy
99,easy
97,easy
95,easy
94,easy
93,easy
93,easy
92,easy
92,easy
92,easy
92,easy
91,easy
91,easy
90,easy
90,easy
90,easy
89,easy
89,easy
89,easy
90,easy
90,easy
91,easy
91,easy
104,hard
103,hard
102,hard
102,hard
102,hard
101,hard
101,hard
101,hard
100,hard
100,hard
99,hard
98,hard
97,hard
96,hard
96,hard
96,hard
95,hard
95,hard
94,hard
94,hard
94,hard
94,hard
94,hard
94,hard
93,hard
93,hard
94,hard
94,hard
94,hard
95,hard
99,hard
100,hard
100,hard
100,hard
100,hard
99,hard
98,hard
98,hard
98,hard
97,hard
97,hard
96,hard
96,hard
96,hard
96,hard
96,hard
96,hard
95,hard
95,hard
95,hard
94,hard
94,hard
95,hard
95,hard
95,hard
95,hard
94,hard
94,hard
92,hard
91,hard
90,hard
94,hard
94,hard
96,hard
97,hard
98,hard
99,hard
100,hard
100,hard
100,hard
99,hard
99,hard
99,hard
98,hard
97,hard
96,hard
95,hard
95,hard
95,hard
95,hard
96,hard
96,hard
97,hard
97,hard
96,hard
95,hard
94,hard
93,hard
93,hard
93,hard
93,hard
100,easy
101,easy
100,easy
100,easy
100,easy
100,easy
100,easy
100,easy
100,easy
101,easy
102,easy
102,easy
102,easy
101,easy
101,easy
100,easy
100,easy
100,easy
99,easy
98,easy
97,easy
96,easy
95,easy
94,easy
94,easy
93,easy
93,easy
92,easy
92,easy
92,easy
103,easy
103,easy
103,easy
101,easy
100,easy
99,easy
98,easy
98,easy
99,easy
100,easy
101,easy
103,easy
104,easy
106,easy
108,easy
109,easy
110,easy
111,easy
111,easy
111,easy
110,easy
109,easy
108,easy
106,easy
105,easy
104,easy
102,easy
100,easy
99,easy
98,easy
97,easy
101,hard
100,hard
100,hard
100,hard
100,hard
100,hard
101,hard
102,hard
103,hard
103,hard
103,hard
103,hard
103,hard
102,hard
100,hard
100,hard
99,hard
99,hard
98,hard
98,hard
98,hard
97,hard
97,hard
97,hard
97,hard
97,hard
97,hard
98,hard
99,hard
99,hard
99,hard
104,easy
104,easy
104,easy
104,easy
104,easy
104,easy
103,easy
103,easy
102,easy
102,easy
101,easy
101,easy
101,easy
101,easy
101,easy
101,easy
100,easy
100,easy
99,easy
99,easy
99,easy
99,easy
99,easy
99,easy
100,easy
100,easy
99,easy
99,easy
98,easy
97,easy
97,easy
102,hard
102,hard
103,hard
102,hard
101,hard
101,hard
100,hard
100,hard
101,hard
102,hard
103,hard
104,hard
104,hard
103,hard
102,hard
102,hard
101,hard
100,hard
100,hard
99,hard
100,hard
100,hard
100,hard
100,hard
99,hard
98,hard
98,hard
97,hard
97,hard
96,hard
103,easy
104,easy
104,easy
104,easy
104,easy
103,easy
103,easy
102,easy
101,easy
100,easy
100,easy
99,easy
98,easy
98,easy
98,easy
99,easy
99,easy
100,easy
100,easy
100,easy
100,easy
99,easy
98,easy
97,easy
96,easy
96,easy
97,easy
97,easy
98,easy
98,easy
99,easy
